id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
507313,SZ399393,国证地产,3,0.0,0.879,0.0,0.2292,0.0,0.0117,1777392000000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777458723858,1777458723858,True,5,0.7708,1.0,04-29,
507339,SZ399812,养老产业,3,12.0342,1.8156,0.0096,0.0436,0.1509,0.0242,1777392000000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721301,1777476721301,False,5,0.9564,0.9904,04-29,0.9641
507338,SZ399975,证券公司,3,15.2958,1.2828,0.0704,0.1636,0.0839,0.0176,1777392000000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721214,1777476721214,True,5,0.8364,0.9296,04-29,0.5353
507261,CSIH11136,中国互联,3,16.794,2.2669,0.054,0.0384,0.135,0.0114,1777305600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777426321329,1777426321329,False,5,0.9616,0.946,04-28,
507357,CSIH30533,中概互联50,3,17.0232,2.3199,0.0396,0.0636,0.1363,0.0105,1777392000000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722944,1777476722944,False,5,0.9364,0.9604,04-29,
507282,SZ399997,中证白酒,3,19.3221,4.2632,0.118,0.0456,0.2206,0.0406,1777392000000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777458721184,1777458721184,False,5,0.9544,0.882,04-29,
507321,CSIH30094,消费红利,2,19.4811,3.784,0.104,0.0592,0.1942,0.0417,1777392000000,low,0,,0.05,1452614400000,1777458724472,1777458724472,False,5,0.9408,0.896,04-29,
507286,SZ399396,国证食品,3,21.4403,3.8058,0.1256,0.0204,0.1775,0.0378,1777392000000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777458721598,1777458721598,False,5,0.9796,0.8744,04-29,
507298,SH000932,主要消费,3,22.1756,3.6707,0.1536,0.0656,0.1655,0.037,1777392000000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777458722559,1777458722559,False,5,0.9344,0.8464,04-29,
507365,SZ399989,中证医疗,3,29.9618,3.2854,0.1812,0.0456,0.1097,0.0151,1777392000000,low,0,,0.05,1452700800000,1777476723574,1777476723574,False,5,0.9544,0.8188,04-29,1.7361
507371,HKHSTECH,恒生科技,3,22.4843,2.5949,0.2806,0.3658,0.1154,0.0115,1777392000000,mid,1,,0.05,1595779200000,1777476724025,1777476724025,False,5,0.6342,0.7194,04-29,
507340,SH000989,全指可选,3,23.5043,2.3097,0.3924,0.2856,0.0983,0.0259,1777392000000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721393,1777476721393,False,5,0.7144,0.6076,04-29,2.0185
507341,SH000991,全指医药,3,33.4172,2.9996,0.4104,0.0564,0.0898,0.0165,1777392000000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721497,1777476721497,False,5,0.9436,0.5896,04-29,2.1235
507355,SH000978,医药100,3,33.9669,3.0604,0.472,0.0648,0.0901,0.0163,1777392000000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722735,1777476722735,False,5,0.9352,0.528,04-29,2.2043
507335,SZ399986,中证银行,3,6.9928,0.6702,0.8416,0.376,0.0958,0.0418,1777392000000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720894,1777476720894,True,5,0.624,0.1584,04-29,4.092
507270,SPACEVCP,标普价值,2,7.6289,0.8404,0.7708,0.7572,0.1102,0.0407,1777392000000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1777458720164,1777458720164,False,5,0.2428,0.2292,04-29,1.77
