id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
507695,SZ399812,养老产业,3,12.1615,1.8033,0.0156,0.0416,0.1483,0.0244,1778083200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921584,1778167921584,1.1922,False,5,0.9584,0.9844,05-07
507693,SZ399975,证券公司,3,14.9868,1.2822,0.0608,0.1628,0.0856,0.0173,1778083200000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921424,1778167921424,1.0875,True,5,0.8372,0.9392,05-07
507620,CSIH11136,中国互联,3,17.1834,2.3142,0.0868,0.0572,0.1347,0.0112,1777996800000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778117521042,1778117521042,,False,5,0.9428,0.9132,05-06
507712,CSIH30533,中概互联50,3,17.6411,2.3983,0.0788,0.0996,0.1359,0.0102,1778083200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167923137,1778167923137,,False,5,0.9004,0.9212,05-07
507720,CSIH30094,消费红利,2,20.6547,3.6765,0.1848,0.0436,0.178,0.0418,1778083200000,low,0,,0.05,1453046400000,1778167923976,1778167923976,1.8113,False,5,0.9564,0.8152,05-07
507690,SZ399997,中证白酒,3,21.439,4.1521,0.2368,0.0412,0.1937,0.0416,1778083200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921183,1778167921183,1.8572,False,5,0.9588,0.7632,05-07
507694,SZ399396,国证食品,3,22.6106,3.7115,0.2004,0.0092,0.1641,0.0376,1778083200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921504,1778167921504,1.727,False,5,0.9908,0.7996,05-07
507704,SH000932,主要消费,3,23.4105,3.5869,0.19,0.0356,0.1532,0.0369,1778083200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922390,1778167922390,1.4178,False,5,0.9644,0.81,05-07
507716,SZ399989,中证医疗,3,29.8335,3.275,0.1752,0.0444,0.1098,0.0144,1778083200000,low,0,,0.05,1453132800000,1778167923550,1778167923550,1.3362,False,5,0.9556,0.8248,05-07
507667,SZ399393,国证地产,3,0.0,0.9215,0.0,0.3016,0.0,0.0113,1778083200000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778149924010,1778149924010,,True,5,0.6984,1.0,05-07
