id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,date,pb_over_history,pe_over_history
508023,SZ399812,养老产业,3,12.1156,1.797,0.0128,0.0396,0.1483,0.0246,1778515200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599921255,1778599921255,1.1717,False,5,05-12,0.9604,0.9872
507970,SZ399975,证券公司,3,15.1375,1.2951,0.0664,0.1852,0.0856,0.0171,1778515200000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581921551,1778581921551,1.0931,True,5,05-12,0.8148,0.9336
507951,CSIH11136,中国互联,3,17.2418,2.3221,0.0908,0.06,0.1347,0.0111,1778428800000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778549520980,1778549520980,,False,5,05-11,0.94,0.9092
508042,CSIH30533,中概互联50,3,17.3398,2.3344,0.0628,0.0712,0.1346,0.0105,1778515200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599922914,1778599922914,,False,5,05-12,0.9288,0.9372
508055,CSIH30094,消费红利,2,20.3404,3.6229,0.1688,0.038,0.1781,0.0426,1778515200000,low,0,,0.05,1453305600000,1778599924012,1778599924012,1.8737,False,5,05-12,0.962,0.8312
508021,SZ399997,中证白酒,3,21.0635,4.0794,0.2236,0.0376,0.1937,0.0423,1778515200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599921030,1778599921030,1.9132,False,5,05-12,0.9624,0.7764
508022,SZ399396,国证食品,3,22.2763,3.6585,0.192,0.0064,0.1642,0.0383,1778515200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599921162,1778599921162,1.7663,False,5,05-12,0.9936,0.808
508034,SH000932,主要消费,3,23.0073,3.5251,0.1768,0.0224,0.1532,0.0375,1778515200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599922207,1778599922207,1.4188,False,5,05-12,0.9776,0.8232
508049,SZ399989,中证医疗,3,29.7333,3.2643,0.1728,0.0416,0.1098,0.0145,1778515200000,low,0,,0.05,1453392000000,1778599923543,1778599923543,1.376,False,5,05-12,0.9584,0.8272
507998,SZ399393,国证地产,3,0.0,0.9469,0.0,0.3456,0.0,0.011,1778515200000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581923885,1778581923885,,True,5,05-12,0.6544,1.0
